iter	Passed	Remaining
0	147	147339
1	149	74540
2	150	50081
3	151	37809
4	152	30355
5	153	25390
6	153	21828
7	154	19156
8	155	17074
9	155	15419
10	156	14061
11	157	12932
12	157	11976
13	158	11153
14	158	10437
15	159	9810
16	160	9255
17	160	8777
18	161	8334
19	161	7936
20	162	7578
21	163	7249
22	163	6949
23	164	6675
24	164	6422
25	165	6189
26	165	5972
27	166	5771
28	166	5584
29	167	5409
30	167	5245
31	168	5092
32	168	4948
33	169	4815
34	170	4688
35	170	4567
36	171	4453
37	171	4346
38	172	4243
39	172	4146
40	173	4053
41	173	3966
42	174	3883
43	175	3803
44	175	3726
45	176	3654
46	176	3583
47	177	3515
48	177	3450
49	178	3388
50	178	3328
51	179	3269
52	179	3213
53	180	3160
54	180	3108
55	181	3058
56	181	3010
57	182	2964
58	183	2922
59	183	2878
60	184	2837
61	184	2798
62	185	2759
63	186	2721
64	186	2685
65	187	2650
66	187	2616
67	188	2578
68	188	2545
69	189	2514
70	189	2482
71	190	2452
72	190	2422
73	191	2394
74	191	2366
75	192	2338
76	192	2312
77	193	2286
78	193	2261
79	194	2236
80	195	2212
81	195	2189
82	196	2166
83	196	2144
84	197	2121
85	197	2099
86	197	2077
87	198	2057
88	199	2037
89	199	2017
90	200	1998
91	200	1980
92	201	1962
93	201	1944
94	202	1927
95	202	1910
96	203	1893
97	203	1877
98	204	1861
99	205	1846
100	205	1830
101	205	1813
102	206	1798
103	207	1783
104	207	1768
105	208	1754
106	208	1740
107	209	1727
108	209	1713
109	210	1700
110	210	1687
111	211	1676
112	212	1665
113	212	1655
114	214	1647
115	214	1636
116	215	1627
117	216	1618
118	217	1607
119	217	1597
120	218	1588
121	219	1577
122	219	1565
123	220	1554
124	220	1543
125	221	1533
126	221	1523
127	222	1512
128	222	1502
129	223	1493
130	223	1484
131	224	1475
132	224	1466
133	225	1459
134	226	1450
135	226	1441
136	227	1433
137	227	1424
138	228	1415
139	229	1407
140	229	1399
141	230	1391
142	230	1383
143	231	1375
144	231	1367
145	232	1359
146	233	1352
147	233	1344
148	234	1337
149	234	1329
150	235	1322
151	235	1315
152	236	1308
153	236	1301
154	237	1294
155	237	1287
156	238	1280
157	239	1274
158	239	1267
159	240	1261
160	240	1255
161	241	1248
162	241	1242
163	242	1236
164	243	1230
165	243	1224
166	244	1218
167	244	1212
168	245	1206
169	245	1200
170	246	1194
171	246	1188
172	247	1182
173	247	1177
174	248	1171
175	248	1165
176	249	1160
177	250	1154
178	250	1149
179	251	1144
180	251	1137
181	251	1132
182	252	1127
183	252	1121
184	253	1117
185	254	1112
186	254	1107
187	255	1102
188	255	1097
189	256	1092
190	256	1087
191	257	1083
192	257	1078
193	258	1073
194	259	1069
195	259	1064
196	260	1060
197	260	1055
198	261	1051
199	261	1046
200	262	1042
201	262	1037
202	263	1033
203	263	1029
204	264	1024
205	264	1020
206	265	1016
207	265	1012
208	266	1008
209	266	1004
210	267	1000
211	268	996
212	268	992
213	269	989
214	269	985
215	270	981
216	270	977
217	271	973
218	272	970
219	272	966
220	273	962
221	273	958
222	274	955
223	274	951
224	275	948
225	275	944
226	276	941
227	276	937
228	277	934
229	277	930
230	278	927
231	279	923
232	279	920
233	280	917
234	280	913
235	281	910
236	281	907
237	282	904
238	283	901
239	283	898
240	284	894
241	284	891
242	285	888
243	285	885
244	286	882
245	286	879
246	287	876
247	287	873
248	288	869
249	288	866
250	289	864
251	290	860
252	290	858
253	291	855
254	291	852
255	292	849
256	292	846
257	293	843
258	293	840
259	294	838
260	295	835
261	295	833
262	296	830
263	297	829
264	298	827
265	299	825
266	300	823
267	300	821
268	301	819
269	302	817
270	303	815
271	303	813
272	304	811
273	305	809
274	306	807
275	307	805
276	307	803
277	308	801
278	309	799
279	310	797
280	310	795
281	311	793
282	312	791
283	313	789
284	313	787
285	314	785
286	315	783
287	316	781
288	316	779
289	317	777
290	318	775
291	318	773
292	319	771
293	320	769
294	321	767
295	321	765
296	322	763
297	323	761
298	323	759
299	324	757
300	325	756
301	326	755
302	327	753
303	328	752
304	329	750
305	330	748
306	330	746
307	331	744
308	332	742
309	332	741
310	333	739
311	334	737
312	335	735
313	336	734
314	336	732
315	337	730
316	338	729
317	339	727
318	339	725
319	340	723
320	341	721
321	341	719
322	342	717
323	343	715
324	343	713
325	344	712
326	345	710
327	346	709
328	346	707
329	347	705
330	348	703
331	349	702
332	349	700
333	350	698
334	351	696
335	351	695
336	352	693
337	353	691
338	354	690
339	354	688
340	355	686
341	356	685
342	356	683
343	357	681
344	357	679
345	358	677
346	359	676
347	360	674
348	360	672
349	361	671
350	362	669
351	362	667
352	363	666
353	364	664
354	364	662
355	365	661
356	366	659
357	367	658
358	367	657
359	368	655
360	369	653
361	370	652
362	370	650
363	371	649
364	372	647
365	372	645
366	373	644
367	374	642
368	374	641
369	375	639
370	376	638
371	377	636
372	377	635
373	378	633
374	379	632
375	380	630
376	380	629
377	381	628
378	382	626
379	383	625
380	383	623
381	384	622
382	385	620
383	385	618
384	386	617
385	387	615
386	387	614
387	388	613
388	389	611
389	389	609
390	390	608
391	391	606
392	391	605
393	392	603
394	393	602
395	393	600
396	394	599
397	395	597
398	395	596
399	396	594
400	397	593
401	397	591
402	398	589
403	398	588
404	399	586
405	399	584
406	400	583
407	400	581
408	401	580
409	401	578
410	402	576
411	402	575
412	403	573
413	404	571
414	404	570
415	405	568
416	405	567
417	406	565
418	406	564
419	407	562
420	408	561
421	409	560
422	410	559
423	410	557
424	411	556
425	411	554
426	412	553
427	412	551
428	413	550
429	413	548
430	414	547
431	415	545
432	415	544
433	416	542
434	416	541
435	417	539
436	417	538
437	418	536
438	419	535
439	419	534
440	420	532
441	420	531
442	421	529
443	421	528
444	422	526
445	422	525
446	423	523
447	424	522
448	424	521
449	425	519
450	425	518
451	426	516
452	426	515
453	427	513
454	427	512
455	428	510
456	428	509
457	429	508
458	429	506
459	430	505
460	431	503
461	431	502
462	432	501
463	432	499
464	433	498
465	433	497
466	434	495
467	434	494
468	435	492
469	435	491
470	436	490
471	437	489
472	437	487
473	438	486
474	439	485
475	439	484
476	440	482
477	440	481
478	441	480
479	441	478
480	442	477
481	442	475
482	443	474
483	443	473
484	444	471
485	445	470
486	445	469
487	446	468
488	446	466
489	447	465
490	447	464
491	448	463
492	449	461
493	449	460
494	450	459
495	450	457
496	451	456
497	451	455
498	452	454
499	452	452
500	453	451
501	453	450
502	454	449
503	454	447
504	455	446
505	456	445
506	456	443
507	457	442
508	457	441
509	458	440
510	458	438
511	459	437
512	459	436
513	460	435
514	460	434
515	461	432
516	462	431
517	462	430
518	463	429
519	463	428
520	464	426
521	464	425
522	465	424
523	466	423
524	466	422
525	467	420
526	467	419
527	468	418
528	468	417
529	469	416
530	469	414
531	470	413
532	470	412
533	471	411
534	471	410
535	472	409
536	473	407
537	473	406
538	474	405
539	474	404
540	475	403
541	475	401
542	476	400
543	476	399
544	477	398
545	477	397
546	478	396
547	478	395
548	479	393
549	480	392
550	480	391
551	481	390
552	481	389
553	482	388
554	482	387
555	483	385
556	483	384
557	484	383
558	484	382
559	485	381
560	485	380
561	486	379
562	487	378
563	487	376
564	488	375
565	488	374
566	489	373
567	489	372
568	490	371
569	490	370
570	491	369
571	491	368
572	492	366
573	492	365
574	493	364
575	494	363
576	494	362
577	495	361
578	495	360
579	496	359
580	496	358
581	497	357
582	497	356
583	498	354
584	498	353
585	499	352
586	500	351
587	500	350
588	501	349
589	501	348
590	502	347
591	502	346
592	503	345
593	503	344
594	504	343
595	504	342
596	505	341
597	505	340
598	506	339
599	506	337
600	507	336
601	508	335
602	508	335
603	509	334
604	510	333
605	511	332
606	511	331
607	512	330
608	512	329
609	513	328
610	513	327
611	514	326
612	515	325
613	515	324
614	516	323
615	517	322
616	517	321
617	518	320
618	519	319
619	519	318
620	520	317
621	520	316
622	521	315
623	522	314
624	522	313
625	523	312
626	524	311
627	524	310
628	525	309
629	526	309
630	527	308
631	528	307
632	528	306
633	529	305
634	530	305
635	531	304
636	532	303
637	533	302
638	533	301
639	534	300
640	535	299
641	535	298
642	536	297
643	537	296
644	537	295
645	538	294
646	539	294
647	539	293
648	540	292
649	541	291
650	541	290
651	542	289
652	543	288
653	543	287
654	544	286
655	545	285
656	545	284
657	546	283
658	546	283
659	547	282
660	548	281
661	548	280
662	549	279
663	550	278
664	550	277
665	551	276
666	552	275
667	552	274
668	553	273
669	554	272
670	554	272
671	555	271
672	556	270
673	557	269
674	558	268
675	559	268
676	560	267
677	561	266
678	561	265
679	562	264
680	562	263
681	563	262
682	564	261
683	564	260
684	565	259
685	565	258
686	566	257
687	566	257
688	567	256
689	567	255
690	568	254
691	569	253
692	569	252
693	570	251
694	570	250
695	571	249
696	572	248
697	572	247
698	573	246
699	573	245
700	574	244
701	574	244
702	575	243
703	575	242
704	576	241
705	576	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	581	233
713	581	232
714	582	232
715	582	231
716	583	230
717	583	229
718	584	228
719	585	227
720	585	226
721	586	225
722	587	224
723	587	224
724	588	223
725	588	222
726	589	221
727	589	220
728	590	219
729	590	218
730	591	217
731	591	216
732	592	215
733	593	214
734	593	214
735	594	213
736	594	212
737	595	211
738	595	210
739	596	209
740	596	208
741	597	207
742	597	206
743	598	205
744	599	205
745	599	204
746	600	203
747	601	202
748	601	201
749	602	200
750	602	199
751	603	199
752	604	198
753	604	197
754	605	196
755	605	195
756	606	194
757	607	193
758	607	192
759	608	192
760	608	191
761	609	190
762	610	189
763	610	188
764	611	187
765	611	186
766	612	185
767	612	185
768	613	184
769	613	183
770	614	182
771	615	181
772	615	180
773	616	180
774	617	179
775	617	178
776	618	177
777	618	176
778	619	175
779	619	174
780	620	173
781	620	173
782	621	172
783	622	171
784	622	170
785	623	169
786	623	168
787	624	167
788	624	167
789	625	166
790	625	165
791	626	164
792	626	163
793	627	162
794	627	161
795	628	161
796	629	160
797	629	159
798	630	158
799	631	157
800	631	156
801	632	156
802	632	155
803	633	154
804	633	153
805	634	152
806	634	151
807	635	151
808	636	150
809	636	149
810	637	148
811	637	147
812	638	146
813	638	145
814	639	145
815	639	144
816	640	143
817	640	142
818	641	141
819	641	140
820	642	140
821	643	139
822	643	138
823	644	137
824	644	136
825	645	135
826	646	135
827	646	134
828	647	133
829	648	132
830	648	131
831	649	131
832	649	130
833	650	129
834	650	128
835	651	127
836	651	126
837	652	126
838	653	125
839	653	124
840	654	123
841	654	122
842	655	122
843	655	121
844	656	120
845	656	119
846	657	118
847	657	117
848	658	117
849	658	116
850	659	115
851	660	114
852	660	113
853	661	113
854	661	112
855	662	111
856	663	110
857	663	109
858	664	109
859	665	108
860	666	107
861	666	106
862	667	105
863	667	105
864	668	104
865	668	103
866	669	102
867	670	101
868	670	101
869	671	100
870	671	99
871	672	98
872	672	97
873	673	97
874	673	96
875	674	95
876	675	94
877	675	93
878	676	93
879	676	92
880	677	91
881	677	90
882	678	89
883	678	89
884	679	88
885	679	87
886	680	86
887	681	85
888	681	85
889	682	84
890	682	83
891	683	82
892	683	81
893	684	81
894	684	80
895	685	79
896	685	78
897	686	77
898	687	77
899	687	76
900	688	75
901	688	74
902	689	74
903	689	73
904	690	72
905	690	71
906	691	70
907	692	70
908	692	69
909	693	68
910	693	67
911	694	67
912	695	66
913	695	65
914	696	64
915	696	63
916	697	63
917	697	62
918	698	61
919	698	60
920	699	59
921	700	59
922	700	58
923	701	57
924	701	56
925	702	56
926	702	55
927	703	54
928	703	53
929	704	53
930	704	52
931	705	51
932	706	50
933	706	49
934	707	49
935	707	48
936	708	47
937	708	46
938	709	46
939	710	45
940	710	44
941	711	43
942	711	43
943	712	42
944	712	41
945	713	40
946	713	39
947	714	39
948	715	38
949	715	37
950	716	36
951	716	36
952	717	35
953	717	34
954	718	33
955	718	33
956	719	32
957	719	31
958	720	30
959	720	30
960	721	29
961	722	28
962	722	27
963	723	27
964	723	26
965	724	25
966	724	24
967	725	23
968	725	23
969	726	22
970	726	21
971	727	20
972	728	20
973	728	19
974	729	18
975	729	17
976	730	17
977	730	16
978	731	15
979	731	14
980	732	14
981	733	13
982	733	12
983	734	11
984	735	11
985	735	10
986	736	9
987	736	8
988	737	8
989	737	7
990	738	6
991	738	5
992	739	5
993	739	4
994	740	3
995	741	2
996	741	2
997	742	1
998	742	0
999	743	0
